portfolio_id,risk_profile,date,monthly_return,cumulative_value,benchmark_return,risk_free_rate,volatility_30d,sharpe_ratio,max_drawdown
Portfolio_01,Moderate,2022-01-01,0.0319,1852449.46,0.01414224938133183,0.0016666666666666668,0.15729464990025332,0.6003118294246563,-0.06883716547359729
Portfolio_01,Moderate,2022-01-31,-0.0361,1852449.46,0.07481642816108879,0.0016666666666666668,0.15589370265822325,1.1180807137147277,-0.1784574099336267
Portfolio_01,Moderate,2022-03-02,0.0556,1852449.46,-0.021779490588748382,0.0016666666666666668,0.15061387123093384,0.8869882076735798,-0.169699334062156
Portfolio_01,Moderate,2022-04-01,0.0145,1852449.46,0.024462169901585055,0.0016666666666666668,0.1545958422311012,0.600338644941789,-0.12406034912741393
Portfolio_01,Moderate,2022-05-01,0.0354,1852449.46,0.035746829129692015,0.0016666666666666668,0.15257203976385586,1.0305296206523384,-0.2108701896748476
Portfolio_01,Moderate,2022-05-31,0.0111,1852449.46,0.02204361146444675,0.0016666666666666668,0.1324457894040484,0.5771837283533825,-0.1815465416868895
Portfolio_01,Moderate,2022-06-30,-0.0684,1852449.46,-0.026800588701431784,0.0016666666666666668,0.14178006271888294,0.7571699378577623,-0.10814227568343077
Portfolio_01,Moderate,2022-07-30,-0.0298,1852449.46,-0.0052919421136317915,0.0016666666666666668,0.1262156143984561,1.0280135692990322,-0.191854506680752
Portfolio_01,Moderate,2022-08-29,0.0366,1852449.46,0.0037991980695861022,0.0016666666666666668,0.15669804760411066,0.8399220836805567,-0.09529102262392622
Portfolio_01,Moderate,2022-09-28,0.0177,1852449.46,0.02242648896016251,0.0016666666666666668,0.13708035630454338,1.2357124347983324,-0.14028332683308833
Portfolio_01,Moderate,2022-10-28,0.0704,1852449.46,0.0007293181631901086,0.0016666666666666668,0.16445888134583356,0.8498901891860144,-0.13003859035303364
Portfolio_01,Moderate,2022-11-27,0.03,1852449.46,0.0921651194810644,0.0016666666666666668,0.1458731785761743,0.7364478211965209,-0.1441710743993768
Portfolio_01,Moderate,2022-12-27,-0.0809,1852449.46,0.04295173416425452,0.0016666666666666668,0.12740198954714402,0.406888821704699,-0.17935576353100738
Portfolio_01,Moderate,2023-01-26,-0.0243,1852449.46,-0.050767418281546024,0.0016666666666666668,0.1436275297871154,0.9004999392258581,-0.19453744317761318
Portfolio_01,Moderate,2023-02-25,0.0108,1852449.46,-0.04359338915816388,0.0016666666666666668,0.1510400574257302,0.9725086969230341,-0.23474867192583063
Portfolio_01,Moderate,2023-03-27,-0.0927,1852449.46,0.03424701709093407,0.0016666666666666668,0.16225959305607487,0.9908170204313257,-0.08907598925641566
Portfolio_01,Moderate,2023-04-26,0.08,1852449.46,0.08211333326302535,0.0016666666666666668,0.14465861927071416,0.8219143160155716,-0.1708219216624013
Portfolio_01,Moderate,2023-05-26,0.0266,1852449.46,0.005901813244448141,0.0016666666666666668,0.17299310033454468,0.5309971032138663,-0.19305248360827876
Portfolio_01,Moderate,2023-06-25,0.0606,1852449.46,0.0535402803981571,0.0016666666666666668,0.16530054760353133,0.7273736706365844,-0.107279899943964
Portfolio_01,Moderate,2023-07-25,,1852449.46,0.017653396844205752,0.0016666666666666668,0.17250411913501482,0.8149019187653546,-0.09871839430637087
Portfolio_01,Moderate,2023-08-24,0.0614,1852449.46,0.09735531059684002,0.0016666666666666668,0.15897148732571198,0.8098656331589688,-0.11387765073895102
Portfolio_01,Moderate,2023-09-23,0.125,1852449.46,-0.006820366775496494,0.0016666666666666668,0.18581951558287096,0.8360142075391963,-0.16364666601127564
Portfolio_01,Moderate,2023-10-23,-0.0596,1852449.46,-0.023115782987094373,0.0016666666666666668,0.16645830287409658,0.9734374825655479,-0.17486771857070466
Portfolio_01,Moderate,2023-11-22,0.0491,1852449.46,0.02580219369020249,0.0016666666666666668,0.12737166047680715,0.8369941150146313,-0.12736218239616526
Portfolio_01,Moderate,2023-12-22,-0.0432,1852449.46,0.06497697284200273,0.0016666666666666668,0.13843771795906964,0.5443294742395351,-0.1947713980462521
Portfolio_01,Moderate,2024-01-21,-0.0534,1852449.46,-0.04046675767349827,0.0016666666666666668,0.17004986036638475,1.1097278590048074,-0.13398917110255854
Portfolio_01,Moderate,2024-02-20,0.026,1852449.46,0.04814023127240832,0.0016666666666666668,0.15200937570870351,0.7809776704598468,-0.16665188095268807
Portfolio_01,Moderate,2024-03-21,0.0436,1852449.46,-0.0049189260122190015,0.0016666666666666668,0.12678297665536453,0.8528509527214678,-0.15201669551070218
Portfolio_01,Moderate,2024-04-20,-0.0185,1852449.46,0.03165338621471749,0.0016666666666666668,0.15140285244657914,0.7674592596861817,-0.19355965150038154
Portfolio_01,Moderate,2024-05-20,0.058,1852449.46,0.008332794775450136,0.0016666666666666668,0.16107355846224242,0.5713322017832279,-0.14562631231596304
Portfolio_01,Moderate,2024-06-19,-0.0647,1852449.46,0.01390617798123088,0.0016666666666666668,0.13922902824572603,0.6824287390184,-0.13846945756168927
Portfolio_01,Moderate,2024-07-19,-0.0572,1852449.46,-0.033429522467652205,0.0016666666666666668,0.1552488557287409,0.62092912526816,-0.09685731534833916
Portfolio_01,Moderate,2024-08-18,0.0134,1852449.46,0.08681806202046798,0.0016666666666666668,0.1370886479744727,0.906841572474935,-0.18633709524410097
Portfolio_01,Moderate,2024-09-17,0.0103,1852449.46,0.04189304368070643,0.0016666666666666668,0.13102112386372178,0.8961173516855425,-0.19364944834446762
Portfolio_01,Moderate,2024-10-17,-0.0282,1852449.46,-0.001336823160709503,0.0016666666666666668,0.1345346208727904,0.9644700941791507,-0.19184901772197935
Portfolio_01,Moderate,2024-11-16,0.0511,1852449.46,0.024953936155830317,0.0016666666666666668,0.144838529576065,0.7771055256402275,-0.14261220462999358
Portfolio_01,Moderate,2024-12-16,-0.0226,1852449.46,-0.02055704742211874,0.0016666666666666668,0.1531555067031133,1.1060669128708822,-0.1889047392916357
Portfolio_01,Moderate,2025-01-15,0.0402,1852449.46,0.04642602743283063,0.0016666666666666668,0.17247146450231676,0.6367690021943913,-0.22275273025452758
Portfolio_01,Moderate,2025-02-14,0.002,1852449.46,0.016293565753267937,0.0016666666666666668,0.1417888871584969,1.1737206438326004,-0.1482596229750084
Portfolio_01,Moderate,2025-03-16,0.0336,1852449.46,-0.021955669317038816,0.0016666666666666668,0.13279260733482431,1.0179809918181661,-0.17855919870420933
Portfolio_01,Moderate,2025-04-15,-0.0118,1852449.46,0.007351607483337516,0.0016666666666666668,0.1643370411766872,0.703148329613834,-0.15229644143700802
