teaching_method,effectiveness_score,class_size,student_engagement,instructor_experience_years,course_difficulty
Lecture,63.8,15,0.9644806056526111,8.36133480864598,Intro
Lecture,87.6,45,0.7718631402305106,9.883587007760308,Advanced
Lecture,68.4,15,0.5233132974900178,3.036376156683753,Intro
Lecture,59.3,35,0.7388623892423644,14.208076570455962,Advanced
Lecture,56.5,15,0.9244645571513134,7.387250386609069,Intro
Lecture,76.6,45,0.6552944329569181,1.675655454357063,Intermediate
Lecture,62.7,25,0.7040820778203746,13.774372870592016,Intro
Lecture,73.7,45,0.4284512421624297,8.517039569373374,Intro
Lecture,77.7,25,0.6699793458921457,8.807328092726229,Intro
Lecture,61.1,15,0.4052374923898531,4.4075854899153155,Advanced
Lecture,76.0,45,0.5163831952398078,2.4160361698110773,Advanced
Lecture,56.9,25,1.0427032920154709,11.32199390592829,Advanced
Lecture,60.4,25,0.6646378888732473,10.05158683445206,Intro
Lecture,76.8,25,0.9198909018503909,9.158877478779555,Advanced
Lecture,77.0,25,0.6819848665508923,4.619091716508718,Intro
Lecture,70.1,25,0.6574383593822182,6.104513656442469,Intro
Lecture,64.9,45,0.8537529018781579,14.139145179128139,Intro
Lecture,70.9,25,0.8205961909772924,4.116067457951453,Advanced
Lecture,75.3,15,0.5937258905348929,3.6004648831918145,Advanced
Lecture,65.2,25,0.6132252396640363,8.906367816040035,Advanced
Lecture,62.5,15,0.5990157700402784,8.935119315833697,Intro
Lecture,69.4,35,0.9065068984004196,7.491942945506307,Intermediate
Lecture,83.2,45,0.9545079919459216,8.024401472516518,Advanced
Lecture,61.2,15,0.877401363169654,5.476300443558493,Intro
Lecture,75.3,35,0.7663785731234725,0.9822626487586419,Intermediate
Lecture,85.4,15,0.7038889773499488,6.475729735830523,Intermediate
Lecture,65.6,15,0.8097687152535094,5.380833000906813,Advanced
Lecture,85.2,35,0.8141880760051889,13.006830405317764,Intro
Lecture,49.6,45,0.6710036039979874,10.582070466741996,Advanced
Lecture,60.8,45,0.6669246186514304,7.9461369768973995,Advanced
Lecture,79.6,25,0.7751082353134041,3.8171772669830464,Intermediate
Lecture,56.3,45,0.8548689158547237,1.8266018722901247,Advanced
Lecture,78.7,25,0.6091619277365706,8.878474132363445,Advanced
Lecture,74.1,15,0.8782130250272043,8.594050441418705,Advanced
Lecture,80.7,35,0.7348577133462418,7.628432484358594,Intermediate
Lecture,55.7,45,0.6890896692877699,12.072147244210342,Intermediate
Lecture,76.8,35,0.8253876097805091,4.8022076093733315,Advanced
Lecture,67.3,25,0.7774923319862282,10.68080839918582,Intermediate
Lecture,80.9,15,0.4600209900670919,7.856616630370972,Intermediate
Lecture,63.3,35,0.9745219516743477,6.770144223024213,Advanced
Lecture,65.2,45,0.6968236156094646,7.270594270859032,Intro
Lecture,80.1,45,0.7702831196996613,8.243343078406957,Advanced
Lecture,72.1,45,0.8252973516687697,8.09162250789332,Intro
Lecture,76.4,45,0.7280033245463584,6.027354810265889,Intermediate
Lecture,74.3,25,0.6038316630893874,11.401229572158721,Intro
Lecture,81.2,45,0.8388187957688227,11.93086430266682,Intro
Lecture,65.3,15,0.7592029845918937,6.5608133673776114,Intermediate
Lecture,61.5,25,0.945379176162854,7.3414886035690445,Advanced
Lecture,62.2,15,0.5715139450773503,4.723884038141681,Advanced
Lecture,50.8,45,0.7453612151887998,14.30393921566295,Intermediate
Lecture,71.5,25,0.714185172708176,11.124588481883892,Advanced
Lecture,66.1,25,1.1212103704216934,5.902438364110938,Intro
Lecture,68.3,35,0.6098653679199103,13.099281860567384,Intro
Lecture,52.7,15,0.7242686881896285,3.859474241590722,Intro
Lecture,71.5,25,0.7807496799179962,7.159465933209104,Intermediate
Lecture,66.5,25,0.832318404576784,7.514128759180957,Intro
Lecture,78.6,45,0.47467166050391296,6.8169631526936305,Intermediate
Lecture,71.1,25,0.7628319672435921,4.917917967211283,Advanced
Lecture,66.8,45,0.7409523693156829,9.723026226883354,Intermediate
Lecture,75.1,45,0.747588555982087,12.704137833488026,Intermediate
Lecture,67.0,25,0.9460266242838955,6.569236484373298,Intermediate
Lecture,75.4,45,0.6850910053689361,1.1117542730484686,Intermediate
Lecture,76.4,35,0.788346435271061,4.392428075793157,Intro
Lecture,67.4,25,0.6736099311087942,8.890615082174223,Intro
Lecture,66.9,35,0.7377035416081317,5.189622690814648,Intermediate
Discussion,66.6,15,0.6804232524757453,14.351364499400061,Advanced
Discussion,68.3,25,0.8000330671363032,11.825508394449965,Advanced
Discussion,84.8,15,0.7205448902810531,5.6407728536225905,Advanced
Discussion,76.7,45,0.6929243352232382,5.962828960766645,Advanced
Discussion,56.4,45,0.8146951440181545,8.689725400869436,Advanced
Discussion,71.5,25,0.6836204983640317,10.461745017917803,Advanced
Discussion,59.7,35,0.7251899945190269,7.566941970945773,Advanced
Discussion,66.8,35,0.6994200977185667,9.084703544786057,Intermediate
Discussion,67.2,15,1.0729306289924412,5.98780568572712,Intro
Discussion,89.9,15,0.7289049323468242,5.633776764575089,Advanced
Discussion,65.2,25,0.8575678031193296,6.486812202031409,Intermediate
Discussion,66.4,45,0.6438676016447671,6.428223937373688,Intro
Discussion,59.1,15,0.7034182363934662,3.6534001755233074,Advanced
Discussion,57.7,15,0.9103732265705367,8.208542013464934,Intro
Discussion,67.6,25,0.7920018334242901,12.202502165448761,Advanced
Discussion,70.9,15,1.0289954175078169,4.838743801063618,Intermediate
Discussion,73.1,25,0.6703291735027204,6.538099691333853,Intermediate
Discussion,92.9,35,1.0366276654785547,5.938641312258879,Advanced
Discussion,80.2,15,0.7434238427845664,4.701176146116203,Intro
Discussion,60.8,25,0.7325464515961616,-0.8618123559097803,Advanced
Discussion,86.9,35,0.8157755227037262,5.817710508877693,Intro
Discussion,75.9,45,0.7181890534446418,6.001330772920365,Intermediate
Discussion,69.8,25,0.8836094311538637,11.005017666804974,Advanced
Discussion,77.9,45,0.729610236307561,7.981589856394171,Intermediate
Discussion,70.1,15,0.6608691700939064,10.65191310559823,Intro
Discussion,70.8,45,0.7415166392771744,8.033402689660118,Intermediate
Discussion,77.0,45,0.4052326977605548,7.094001614886523,Advanced
Discussion,82.4,25,0.6543117149098107,13.55951724880259,Intro
Discussion,69.7,35,0.8225856311861969,6.828579269732149,Intermediate
Discussion,85.8,15,0.9443557584703113,8.1843599479024,Intermediate
Discussion,72.0,15,0.8757237563722644,6.491491234290336,Intermediate
Discussion,81.7,15,0.7781091827579616,6.490058913264795,Intermediate
