teaching_method,final_score,study_hours_per_week,previous_gpa,attendance_rate,student_motivation
Traditional,77.7,6.4,3.4678390098299805,0.7816687839096157,High
Traditional,85.9,7.0,3.2893288533628393,0.9346470748224354,Low
Traditional,75.0,19.2,4.403927645867079,0.9282789149927999,Low
Traditional,62.4,16.0,2.99935043746235,0.8681833882860381,Medium
Traditional,69.7,19.6,3.4405523443465857,0.8038313905809368,High
Traditional,56.4,17.4,3.236129440082954,0.8824025016893515,High
Traditional,63.2,17.1,3.554780441230089,1.0305800368006053,Medium
Traditional,69.5,13.1,3.0414570986076805,0.8898322135654998,Low
Traditional,73.1,9.7,3.8397224763115325,0.8408004917211134,High
Traditional,70.3,20.2,3.0176448667007416,0.8431374955686175,Medium
Traditional,77.0,16.5,4.326369715074096,0.860843096512959,Medium
Traditional,73.1,18.6,2.849564157228712,0.8604525972690893,Low
Traditional,67.8,24.3,2.849262522046568,0.886138342313808,High
Traditional,82.3,13.5,2.4979154475999663,0.6925333309346233,High
Traditional,70.0,17.5,4.164288110405853,0.9766973589902246,High
Traditional,57.0,16.9,3.4343246777059298,0.8452896812958248,Medium
Traditional,73.2,18.2,3.6302294244546642,0.9652825695327556,Medium
Traditional,50.4,19.2,3.033029695706576,0.6119203796192078,Low
Traditional,55.2,8.1,3.045292767153731,0.6654097618924012,Medium
Traditional,84.1,14.9,3.899235052562333,0.9663475158191335,Medium
Traditional,97.7,11.6,3.4686768844655664,0.8494581202085103,Medium
Traditional,80.8,11.2,4.188790269930472,0.7969987046750898,Medium
Traditional,80.7,19.7,4.19108831684221,0.7916544829478451,Medium
Traditional,74.7,19.1,3.338981316430781,0.8491445031189979,High
Traditional,55.5,11.3,3.657898208551604,1.0805641911632655,High
Traditional,86.2,14.2,2.445453991662331,0.5661969332777146,Low
Traditional,72.3,21.8,3.379181472488446,0.7370633768829292,High
Traditional,61.0,14.7,3.0068026051399372,0.7451281107425718,Medium
Traditional,90.6,16.6,3.249425439296376,0.9739684494493664,Medium
Traditional,97.3,19.1,3.2051825541471826,0.9876033534374014,High
Traditional,46.8,18.4,3.1948706466455246,0.8313830055736603,Low
Traditional,81.9,11.0,3.869724482162668,0.9290353121854404,Medium
Traditional,74.6,27.3,3.2768246072076357,0.7937572435688411,High
Traditional,78.1,19.3,2.78066033130299,0.978508045381337,Medium
Traditional,91.2,17.8,3.2794979090782954,0.8916084292155245,High
Traditional,77.9,20.2,3.076719127395243,0.8223563472202555,Medium
Traditional,71.2,17.0,3.6555039812490824,0.6071066077121472,Medium
Traditional,60.2,14.7,2.995411807774511,0.8137551665183161,Low
Traditional,71.6,11.3,3.5009809688319233,0.8127386693565921,Medium
Traditional,77.1,9.0,3.34499787683797,0.8462320360257798,Low
Traditional,46.7,9.3,3.4035427821386777,0.8591579282232172,Medium
Traditional,64.3,18.6,2.759358688882399,0.8107305974680445,High
Traditional,73.0,22.6,3.0518353253004875,0.802935709237921,High
Traditional,65.8,10.3,3.3980787896258318,0.94279807281122,Medium
Traditional,91.2,12.7,2.917567706742999,0.6896357385930347,Low
Traditional,54.3,14.2,3.5717796196526903,0.7568214139481684,Low
